2024-11-20 16:10:22,096 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-20 16:10:22,097 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Configure stats pid to 7460
2024-11-20 16:10:22,097 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Loading settings from C:\Users\issam\.config\wandb\settings
2024-11-20 16:10:22,097 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Loading settings from C:\Users\issam\OneDrive\Desktop\phd\paper2Implementation\wandb\settings
2024-11-20 16:10:22,097 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-11-20 16:10:22,097 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-20 16:10:22,098 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'C:\\Users\\issam\\OneDrive\\Desktop\\phd\\paper2Implementation\\main.py', 'program': 'C:\\Users\\issam\\OneDrive\\Desktop\\phd\\paper2Implementation\\main.py'}
2024-11-20 16:10:22,098 INFO    MainThread:7460 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-20 16:10:22,098 INFO    MainThread:7460 [wandb_init.py:_log_setup():533] Logging user logs to C:\Users\issam\OneDrive\Desktop\phd\paper2Implementation\wandb\run-20241120_161022-tt3gdoyy\logs\debug.log
2024-11-20 16:10:22,098 INFO    MainThread:7460 [wandb_init.py:_log_setup():534] Logging internal logs to C:\Users\issam\OneDrive\Desktop\phd\paper2Implementation\wandb\run-20241120_161022-tt3gdoyy\logs\debug-internal.log
2024-11-20 16:10:22,098 INFO    MainThread:7460 [wandb_init.py:init():619] calling init triggers
2024-11-20 16:10:22,099 INFO    MainThread:7460 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-20 16:10:22,099 INFO    MainThread:7460 [wandb_init.py:init():669] starting backend
2024-11-20 16:10:22,099 INFO    MainThread:7460 [wandb_init.py:init():673] sending inform_init request
2024-11-20 16:10:22,108 INFO    MainThread:7460 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-11-20 16:10:22,109 INFO    MainThread:7460 [wandb_init.py:init():686] backend started and connected
2024-11-20 16:10:22,131 INFO    MainThread:7460 [wandb_init.py:init():781] updated telemetry
2024-11-20 16:10:22,197 INFO    MainThread:7460 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-20 16:10:23,628 INFO    MainThread:7460 [wandb_init.py:init():867] starting run threads in backend
2024-11-20 16:10:24,002 INFO    MainThread:7460 [wandb_run.py:_console_start():2456] atexit reg
2024-11-20 16:10:24,002 INFO    MainThread:7460 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-20 16:10:24,002 INFO    MainThread:7460 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-20 16:10:24,002 INFO    MainThread:7460 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-20 16:10:24,008 INFO    MainThread:7460 [wandb_init.py:init():911] run started, returning control to user process
2024-11-20 16:10:24,008 INFO    MainThread:7460 [wandb_watch.py:_watch():71] Watching
2024-11-20 16:11:48,771 INFO    MainThread:7460 [wandb_run.py:_finish():2155] finishing run issamizarkane/CVRP/tt3gdoyy
2024-11-20 16:11:48,772 INFO    MainThread:7460 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-20 16:11:48,772 INFO    MainThread:7460 [wandb_run.py:_restore():2402] restore
2024-11-20 16:11:48,772 INFO    MainThread:7460 [wandb_run.py:_restore():2408] restore done
2024-11-20 16:11:58,023 INFO    MainThread:7460 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-20 16:11:58,024 INFO    MainThread:7460 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-20 16:11:58,025 INFO    MainThread:7460 [wandb_run.py:_footer_sync_info():3921] logging synced files
